drop_rate,replicate,major_category,category_label,feature,feature_label,effect_ratio,relative_to_full
0.1,24,カッパ,Kappa,hydrology,Water setting,2.9778205401893745,0.8821329891109605
0.1,24,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,24,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.2521970833921696,0.9361408334773355
0.1,24,カッパ,Kappa,livelihood,Livelihood,1.5197351024516808,1.0335547246817347
0.1,25,カッパ,Kappa,hydrology,Water setting,2.776399560538501,0.8224651587460777
0.1,25,ユウレイ,Yurei,death_ritual,Death ritual,4.836284621396655,1.039343294878799
0.1,25,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3619862083723298,1.0182190337293686
0.1,25,カッパ,Kappa,livelihood,Livelihood,1.490483024008916,1.0136607156320612
0.1,26,カッパ,Kappa,hydrology,Water setting,3.3962928659156186,1.0060989026275726
0.1,26,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,26,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4821884055540173,1.1080820325718843
0.1,26,カッパ,Kappa,livelihood,Livelihood,0.86470148974691,0.5880737430658043
0.1,27,カッパ,Kappa,hydrology,Water setting,3.4649036947705043,1.0264237928371391
0.1,27,ユウレイ,Yurei,death_ritual,Death ritual,4.7322618847020435,1.0169882553469725
0.1,27,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4262591790385828,1.0662694190301996
0.1,27,カッパ,Kappa,livelihood,Livelihood,1.4737030533205373,1.0022488465786872
0.1,28,カッパ,Kappa,hydrology,Water setting,3.434615905834543,1.0174515067550696
0.1,28,ユウレイ,Yurei,death_ritual,Death ritual,4.773179482082888,1.0257816647117113
0.1,28,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3371073398433655,0.9996196255135427
0.1,28,カッパ,Kappa,livelihood,Livelihood,1.5363027411840213,1.0448221891635425
0.1,29,カッパ,Kappa,hydrology,Water setting,3.9651902557724044,1.1746259002215496
0.1,29,ユウレイ,Yurei,death_ritual,Death ritual,4.746931956489765,1.0201409318210788
0.1,29,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4183174719521692,1.0603322096326437
0.1,29,カッパ,Kappa,livelihood,Livelihood,1.4904362235294186,1.0136288871531218
0.1,30,カッパ,Kappa,hydrology,Water setting,3.5274693020850316,1.0449578802514183
0.1,30,ユウレイ,Yurei,death_ritual,Death ritual,2.7150730780375927,0.5834836490556647
0.1,30,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3405322841199019,1.0021801091883367
0.1,30,カッパ,Kappa,livelihood,Livelihood,1.4994134230784752,1.0197341794460812
0.1,31,カッパ,Kappa,hydrology,Water setting,3.7583483420749184,1.1133522025151756
0.1,31,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,31,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.0413688166799535,0.7785259085280619
0.1,31,カッパ,Kappa,livelihood,Livelihood,1.6356062451030315,1.11235738361116
0.1,32,カッパ,Kappa,hydrology,Water setting,3.55068473769077,1.0518350917314296
0.1,32,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,32,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4268729625401055,1.0667282827396833
0.1,32,カッパ,Kappa,livelihood,Livelihood,1.5197351024516808,1.0335547246817347
0.1,33,カッパ,Kappa,hydrology,Water setting,3.6709357215172718,1.087457574139204
0.1,33,ユウレイ,Yurei,death_ritual,Death ritual,2.7150730780375927,0.5834836490556647
0.1,33,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.235656090117814,0.9237748094418452
0.1,33,カッパ,Kappa,livelihood,Livelihood,1.6176612528927028,1.1001531965436628
0.1,34,カッパ,Kappa,hydrology,Water setting,3.471299753498643,1.0283185256889795
0.1,34,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,34,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3482752305533148,1.0079687253925123
0.1,34,カッパ,Kappa,livelihood,Livelihood,1.5013360448812874,1.0210417328775094
0.1,35,カッパ,Kappa,hydrology,Water setting,3.4658517534719007,1.0267046404721218
0.1,35,ユウレイ,Yurei,death_ritual,Death ritual,5.12818445438854,1.1020741219385068
0.1,35,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.483638372623637,1.109166025977612
0.1,35,カッパ,Kappa,livelihood,Livelihood,1.4995948413550566,1.019857559972465
0.1,36,カッパ,Kappa,hydrology,Water setting,3.4275845309001567,1.0153685713650022
0.1,36,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,36,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3412681508001465,1.0027302421158997
0.1,36,カッパ,Kappa,livelihood,Livelihood,1.709518177262069,1.1626240561188168
0.1,37,カッパ,Kappa,hydrology,Water setting,3.4275845309001567,1.0153685713650022
0.1,37,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,37,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3282150270909874,0.9929717446152725
0.1,37,カッパ,Kappa,livelihood,Livelihood,1.4770177359711358,1.0045031249123386
0.1,38,カッパ,Kappa,hydrology,Water setting,3.4980855616991673,1.0362534044819705
0.1,38,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,38,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3332498072601258,0.996735739410041
0.1,38,カッパ,Kappa,livelihood,Livelihood,1.500203724652064,1.0202716546442185
0.1,39,カッパ,Kappa,hydrology,Water setting,3.863446216686951,1.144485812156684
0.1,39,ユウレイ,Yurei,death_ritual,Death ritual,2.7150730780375927,0.5834836490556647
0.1,39,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.2345421975984072,0.9229420649119692
0.1,39,カッパ,Kappa,livelihood,Livelihood,1.5051781737381498,1.023654721434818
0.1,40,カッパ,Kappa,hydrology,Water setting,3.384355730793457,1.0025627121336806
0.1,40,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,40,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.331371700219988,0.9953316691456771
0.1,40,カッパ,Kappa,livelihood,Livelihood,1.4736961652140725,1.0022441620550688
0.1,41,カッパ,Kappa,hydrology,Water setting,3.4275845309001567,1.0153685713650022
0.1,41,ユウレイ,Yurei,death_ritual,Death ritual,4.7322618847020435,1.0169882553469725
0.1,41,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3253509710535811,0.9908305802238653
0.1,41,カッパ,Kappa,livelihood,Livelihood,1.4703963575026535,1.0
0.1,42,カッパ,Kappa,hydrology,Water setting,3.450524279613208,1.0221641148937641
0.1,42,ユウレイ,Yurei,death_ritual,Death ritual,4.8524465446881635,1.042816578177937
0.1,42,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.5644036075977992,1.1695460056050089
0.1,42,カッパ,Kappa,livelihood,Livelihood,1.4916225560107474,1.0144356985106688
0.1,43,カッパ,Kappa,hydrology,Water setting,3.4661560051006,1.0267947702818416
0.1,43,ユウレイ,Yurei,death_ritual,Death ritual,4.7322618847020435,1.0169882553469725
0.1,43,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.2977216976351598,0.9701749730599939
0.1,43,カッパ,Kappa,livelihood,Livelihood,1.6564668628214476,1.126544454744719
0.1,44,カッパ,Kappa,hydrology,Water setting,2.8344873676075415,0.8396727675287934
0.1,44,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,44,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.354246597204297,1.012432910965047
0.1,44,カッパ,Kappa,livelihood,Livelihood,1.490483024008916,1.0136607156320612
0.1,45,カッパ,Kappa,hydrology,Water setting,3.678593904075628,1.0897261915324237
0.1,45,ユウレイ,Yurei,death_ritual,Death ritual,4.836284621396655,1.039343294878799
0.1,45,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.2548694860820402,0.9381387180872447
0.1,45,カッパ,Kappa,livelihood,Livelihood,1.6488228373164078,1.1213458391020479
0.1,46,カッパ,Kappa,hydrology,Water setting,3.385251234243953,1.0028279910935387
0.1,46,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,46,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4763277898356815,1.1037006442457025
0.1,46,カッパ,Kappa,livelihood,Livelihood,1.4673660264460744,0.9979391059824673
0.1,47,カッパ,Kappa,hydrology,Water setting,3.8233974323166477,1.1326219830944433
0.1,47,ユウレイ,Yurei,death_ritual,Death ritual,4.746931956489765,1.0201409318210788
0.1,47,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.336400150274243,0.9990909315551832
0.1,47,カッパ,Kappa,livelihood,Livelihood,1.4768981298425177,1.0044217821315247
0.1,48,カッパ,Kappa,hydrology,Water setting,3.3757047712165367,1.0
0.1,48,ユウレイ,Yurei,death_ritual,Death ritual,5.12818445438854,1.1020741219385068
0.1,48,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3667661852722028,1.0217925379471933
0.1,48,カッパ,Kappa,livelihood,Livelihood,1.6488228373164078,1.1213458391020479
0.1,49,カッパ,Kappa,hydrology,Water setting,3.3808728401193124,1.001530959978148
0.1,49,ユウレイ,Yurei,death_ritual,Death ritual,4.7322618847020435,1.0169882553469725
0.1,49,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3388663751878305,1.000934677940452
0.1,49,カッパ,Kappa,livelihood,Livelihood,1.4823277894669566,1.008114432481707
0.1,50,カッパ,Kappa,hydrology,Water setting,3.7765424011444173,1.1187419093475484
0.1,50,ユウレイ,Yurei,death_ritual,Death ritual,5.12818445438854,1.1020741219385068
0.1,50,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.2265189166519197,0.916943871007763
0.1,50,カッパ,Kappa,livelihood,Livelihood,1.4789654619616954,1.0058277514190772
0.1,51,カッパ,Kappa,hydrology,Water setting,3.86297516557143,1.1443462705950114
0.1,51,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,51,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.349286028226027,1.008724396355462
0.1,51,カッパ,Kappa,livelihood,Livelihood,1.5656123639606865,1.0647553334665147
0.1,52,カッパ,Kappa,hydrology,Water setting,3.4632461025436156,1.0259327569381995
0.1,52,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,52,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.317138155406231,0.9846906904355274
0.1,52,カッパ,Kappa,livelihood,Livelihood,1.4789654619616954,1.0058277514190772
0.1,53,カッパ,Kappa,hydrology,Water setting,3.487838984240231,1.0332180153844683
0.1,53,ユウレイ,Yurei,death_ritual,Death ritual,5.12818445438854,1.1020741219385068
0.1,53,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.167323591349746,0.8726895264630363
0.1,53,カッパ,Kappa,livelihood,Livelihood,1.6723562945051513,1.1373506782521619
0.1,54,カッパ,Kappa,hydrology,Water setting,3.4419561565145753,1.0196259417775337
0.1,54,ユウレイ,Yurei,death_ritual,Death ritual,4.773179482082888,1.0257816647117113
0.1,54,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3017450350255981,0.9731828146114552
0.1,54,カッパ,Kappa,livelihood,Livelihood,0.8649641001923853,0.5882523414716936
0.1,55,カッパ,Kappa,hydrology,Water setting,3.4462653380317168,1.0209024697351574
0.1,55,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,55,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3452850448268567,1.0057332666174164
0.1,55,カッパ,Kappa,livelihood,Livelihood,0.9079006660712513,0.617453016282797
0.1,56,カッパ,Kappa,hydrology,Water setting,3.604972962355976,1.0679171333625883
0.1,56,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,56,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.444573405417337,1.0799611097185815
0.1,56,カッパ,Kappa,livelihood,Livelihood,1.6352875198071282,1.1121406221275798
0.1,57,カッパ,Kappa,hydrology,Water setting,3.604972962355976,1.0679171333625883
0.1,57,ユウレイ,Yurei,death_ritual,Death ritual,2.7150730780375927,0.5834836490556647
0.1,57,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.0561621282463582,0.7895853680998319
0.1,57,カッパ,Kappa,livelihood,Livelihood,1.4673660264460744,0.9979391059824673
0.1,58,カッパ,Kappa,hydrology,Water setting,3.401524214997102,1.0076486083737888
0.1,58,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,58,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4226141337527918,1.0635443881407654
0.1,58,カッパ,Kappa,livelihood,Livelihood,1.4737030533205373,1.0022488465786872
0.1,59,カッパ,Kappa,hydrology,Water setting,3.521945125391998,1.0433214288827632
0.1,59,ユウレイ,Yurei,death_ritual,Death ritual,4.746931956489765,1.0201409318210788
0.1,59,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3168594347533,0.9844823192551416
0.1,59,カッパ,Kappa,livelihood,Livelihood,1.5692308866651914,1.067216249998334
0.1,60,カッパ,Kappa,hydrology,Water setting,3.7583483420749184,1.1133522025151756
0.1,60,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,60,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.2480017121168787,0.9330043796279475
0.1,60,カッパ,Kappa,livelihood,Livelihood,1.4916225560107474,1.0144356985106688
0.1,61,カッパ,Kappa,hydrology,Water setting,3.401524214997102,1.0076486083737888
0.1,61,ユウレイ,Yurei,death_ritual,Death ritual,4.836284621396655,1.039343294878799
0.1,61,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.1218527084996632,0.8386955563965086
0.1,61,カッパ,Kappa,livelihood,Livelihood,0.8649641001923853,0.5882523414716936
0.1,62,カッパ,Kappa,hydrology,Water setting,3.5383102168452942,1.048169332524348
0.1,62,ユウレイ,Yurei,death_ritual,Death ritual,5.12818445438854,1.1020741219385068
0.1,62,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.332068304130069,0.9958524492797596
0.1,62,カッパ,Kappa,livelihood,Livelihood,1.4961710677880118,1.0175290901353526
0.1,63,カッパ,Kappa,hydrology,Water setting,2.847617289633988,0.8435623025788963
0.1,63,ユウレイ,Yurei,death_ritual,Death ritual,4.8524465446881635,1.042816578177937
0.1,63,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.392130650674664,1.04075497772404
0.1,63,カッパ,Kappa,livelihood,Livelihood,1.5525004254915278,1.0558380518082358
0.1,64,カッパ,Kappa,hydrology,Water setting,3.3808728401193124,1.001530959978148
0.1,64,ユウレイ,Yurei,death_ritual,Death ritual,4.768038596642579,1.0246768610803272
0.1,64,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.486354361351944,1.1111964954504723
0.1,64,カッパ,Kappa,livelihood,Livelihood,1.6176612528927028,1.1001531965436628
0.1,65,カッパ,Kappa,hydrology,Water setting,3.6742353158293497,1.088435027600245
0.1,65,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,65,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3409552427406806,1.002496312476967
0.1,65,カッパ,Kappa,livelihood,Livelihood,1.5403024315419898,1.0475423335229597
0.1,66,カッパ,Kappa,hydrology,Water setting,3.6709357215172718,1.087457574139204
0.1,66,ユウレイ,Yurei,death_ritual,Death ritual,4.7322618847020435,1.0169882553469725
0.1,66,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4310805629960952,1.0698738791078999
0.1,66,カッパ,Kappa,livelihood,Livelihood,1.5656123639606865,1.0647553334665147
0.1,67,カッパ,Kappa,hydrology,Water setting,3.4449055849681445,1.0204996640528696
0.1,67,ユウレイ,Yurei,death_ritual,Death ritual,4.746931956489765,1.0201409318210788
0.1,67,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.3966030575669348,1.0440985430232324
0.1,67,カッパ,Kappa,livelihood,Livelihood,1.4736961652140725,1.0022441620550688
0.1,68,カッパ,Kappa,hydrology,Water setting,3.8286376228313013,1.1341743079776305
0.1,68,ユウレイ,Yurei,death_ritual,Death ritual,4.773179482082888,1.0257816647117113
0.1,68,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4967984975454867,1.1190045174390617
0.1,68,カッパ,Kappa,livelihood,Livelihood,0.8649641001923853,0.5882523414716936
0.1,69,カッパ,Kappa,hydrology,Water setting,3.4658517534719007,1.0267046404721218
0.1,69,ユウレイ,Yurei,death_ritual,Death ritual,4.8524465446881635,1.042816578177937
0.1,69,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.1632193247607192,0.869621182352973
0.1,69,カッパ,Kappa,livelihood,Livelihood,1.6488228373164078,1.1213458391020479
0.1,70,カッパ,Kappa,hydrology,Water setting,3.4433808556062213,1.0200479867098375
0.1,70,ユウレイ,Yurei,death_ritual,Death ritual,4.653211932214012,1.0
0.1,70,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.4276507376516026,1.067309746353352
0.1,70,カッパ,Kappa,livelihood,Livelihood,1.4904362235294186,1.0136288871531218
0.1,71,カッパ,Kappa,hydrology,Water setting,3.5274693020850316,1.0449578802514183
0.1,71,ユウレイ,Yurei,death_ritual,Death ritual,4.770584474510378,1.0252239837785595
0.1,71,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.413597965041126,1.0568039126960804
0.1,71,カッパ,Kappa,livelihood,Livelihood,1.6564668628214476,1.126544454744719
0.1,72,カッパ,Kappa,hydrology,Water setting,3.821877346112594,1.1321716812146654
0.1,72,ユウレイ,Yurei,death_ritual,Death ritual,4.746931956489765,1.0201409318210788
0.1,72,ヘビ・リュウ,Snake/Dragon,strict_boundary_interface,Strict interface,1.374100582664556,1.027275723444904
0.1,72,カッパ,Kappa,livelihood,Livelihood,0.7899648734341377,0.5372462121545429
